Tag,Datum,Zeit,Home,Away,Resultat,Drittel,OT/SO,Status,Versch.,Stadion,Zus.,TV/Online,Id,Liga,Region,Phase,SVS_Home,SVS_Away,
Fr,23/01/2026,19:45:00,Fribourg-Gottéron,HC Lugano,03:02, 1:0|0:1|1:1|1:0,SO,Ende,FALSE,"BCF Arena, 1700 Fribourg FR",9372,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,23/01/2026,19:45:00,EHC Kloten,EV Zug,01:02, 0:0|0:0|1:2,,Ende,FALSE,"SWISS Arena, 8302 Kloten ZH",5031,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,23/01/2026,19:45:00,Lausanne HC,EHC Biel-Bienne,02:01, 0:1|1:0|0:0|1:0,OT,Ende,FALSE,"Vaudoise Aréna, 1008 Lausanne VD",9600,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,23/01/2026,19:45:00,SC Rapperswil-Jona Lakers,SC Bern,00:02, 0:0|0:1|0:1,,Ende,FALSE,"St.Galler Kantonalbank Arena, 8640 Rapperswil SG",5560,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,23/01/2026,19:45:00,SCL Tigers,HC Ajoie,02:03, 0:0|2:1|0:1|0:1,OT,Ende,FALSE,"emmental versicherung arena , 3550 Langnau i. E. BE",5905,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,24/01/2026,19:45:00,HC Ajoie,EHC Kloten,04:02, 3:1|0:1|1:0,,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",4422,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,24/01/2026,19:45:00,SC Bern,Lausanne HC,03:01, 0:0|2:1|1:0,,Ende,FALSE,"PostFinance Arena, 3014 Bern BE",16501,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,24/01/2026,19:45:00,EHC Biel-Bienne,SC Rapperswil-Jona Lakers,05:04, 2:1|1:2|2:1,,Ende,FALSE,"Tissot Arena, 2504 Biel/Bienne BE",6033,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,24/01/2026,19:45:00,HC Lugano,HC Davos,01:04, 0:0|0:2|1:2,,Ende,FALSE,"Cornèr Arena, 6948 Porza Ti",6614,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,24/01/2026,19:45:00,ZSC Lions,Fribourg-Gottéron,03:04, 0:2|2:0|1:1|0:1,SO,Ende,FALSE,"Swiss Life Arena, 8048 Zürich ZH",12000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,24/01/2026,19:45:00,EV Zug,SCL Tigers,03:01, 1:0|0:1|2:0,,Ende,FALSE,"OYM hall, 6303 Zug",7429,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Mo,26/01/2026,19:45:00,Genève-Servette HC,HC Ambri-Piotta,03:04, 0:0|2:1|1:2|0:1,OT,Ende,FALSE,"Les Vernets, 1227 Les Acacias GE",5938,"MYSPORTS,TELETICINO",2.02611E+13,NL,CH,Regular Season,90,91,
Di,27/01/2026,19:45:00,EHC Biel-Bienne,HC Ajoie,06:03, 2:0|1:1|3:2,,Ende,FALSE,"Tissot Arena, 2504 Biel/Bienne BE",6131,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,27/01/2026,19:45:00,HC Davos,EV Zug,04:01, 2:0|0:0|2:1,,Ende,FALSE,"zondacrypto-Arena, 7270 Davos-Platz GR",6076,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,27/01/2026,19:45:00,Fribourg-Gottéron,HC Ambri-Piotta,04:03, 1:0|1:3|1:0|1:0,OT,Ende,FALSE,"BCF Arena, 1700 Fribourg FR",9372,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,27/01/2026,19:45:00,EHC Kloten,ZSC Lions,02:04, 0:1|0:1|2:2,,Ende,FALSE,"SWISS Arena, 8302 Kloten ZH",6296,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,27/01/2026,19:45:00,HC Lugano,SC Rapperswil-Jona Lakers,07:03, 3:0|0:3|4:0,,Ende,FALSE,"Cornèr Arena, 6948 Porza Ti",5072,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,27/01/2026,19:45:00,SCL Tigers,SC Bern,03:04, 1:0|1:3|1:0|0:1,OT,Ende,FALSE,"emmental versicherung arena , 3550 Langnau i. E. BE",6000,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Do,29/01/2026,19:45:00,HC Ambri-Piotta,HC Lugano,03:02, 1:1|1:0|1:1,,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6775,"MYSPORTS,TELETICINO",2.02611E+13,NL,CH,Regular Season,90,91,
Do,29/01/2026,19:45:00,Genève-Servette HC,Fribourg-Gottéron,03:05, 1:4|0:0|2:1,,Ende,FALSE,"Les Vernets, 1227 Les Acacias GE",7135,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Do,29/01/2026,19:45:00,SC Rapperswil-Jona Lakers,HC Davos,03:04, 1:0|0:2|2:2,,Ende,FALSE,"St.Galler Kantonalbank Arena, 8640 Rapperswil SG",6025,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
