Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Mi;17.12.2025;19:45;ZSC Lions;HC Lugano; 5:3; 2:1|0:1|3:1;;Ende;False;Swiss Life Arena, 8048 Zürich ZH;11195;MYSPORTS;20261105000223;NL;CH;Regular Season
Mi;17.12.2025;19:45;Fribourg-Gottéron;HC Ajoie; 4:2; 2:0|2:1|0:1;;Ende;False;BCF Arena, 1700 Fribourg FR;9372;MYSPORTS;20261105000339;NL;CH;Regular Season
Fr;19.12.2025;19:45;HC Ajoie;Lausanne HC; 3:4; 1:1|1:1|1:1|0:1;OT;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;4989;MYSPORTS;20261105000218;NL;CH;Regular Season
Fr;19.12.2025;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 5:6; 3:2|1:2|1:1|0:1;OT;Ende;False;Gottardo Arena, 6775 Ambri TI;6552;MYSPORTS;20261105000219;NL;CH;Regular Season
Fr;19.12.2025;19:45;SC Bern;HC Davos; 2:3; 0:1|0:1|2:0|0:1;OT;Ende;False;PostFinance Arena, 3014 Bern BE;15689;MYSPORTS,TV24,3PLUS;20261105000220;NL;CH;Regular Season
Fr;19.12.2025;19:45;Genève-Servette HC;SCL Tigers; 1:4; 0:2|0:0|1:2;;Ende;False;Les Vernets, 1227 Les Acacias GE;6043;MYSPORTS;20261105000221;NL;CH;Regular Season
Fr;19.12.2025;19:45;EHC Kloten;SC Rapperswil-Jona Lakers; 5:2; 3:0|0:1|2:1;;Ende;False;SWISS Arena, 8302 Kloten ZH;5035;MYSPORTS;20261105000222;NL;CH;Regular Season
Fr;19.12.2025;19:45;EV Zug;EHC Biel-Bienne; 4:0; 0:0|1:0|3:0;;Ende;False;OYM hall, 6303 Zug;7246;MYSPORTS;20261105000224;NL;CH;Regular Season
Sa;20.12.2025;19:45;HC Davos;HC Lugano; 5:4; 2:1|3:1|0:2;;Ende;False;zondacrypto-Arena, 7270 Davos-Platz GR;6547;MYSPORTS;20261105000185;NL;CH;Regular Season
Sa;20.12.2025;19:45;Fribourg-Gottéron;ZSC Lions; 4:2; 1:2|0:0|3:0;;Ende;False;BCF Arena, 1700 Fribourg FR;9372;MYSPORTS,TV24,3PLUS;20261105000227;NL;CH;Regular Season
Sa;20.12.2025;19:45;Lausanne HC;HC Ambri-Piotta; 5:1; 1:0|2:0|2:1;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9600;MYSPORTS;20261105000229;NL;CH;Regular Season
Sa;20.12.2025;19:45;SC Rapperswil-Jona Lakers;EV Zug; 4:2; 0:2|1:0|3:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;5940;MYSPORTS;20261105000230;NL;CH;Regular Season
Sa;20.12.2025;19:45;SCL Tigers;EHC Kloten; 4:3; 1:1|2:0|0:2|1:0;OT;Ende;False;emmental versicherung arena , 3550 Langnau i. E. BE;6000;MYSPORTS;20261105000231;NL;CH;Regular Season
Sa;20.12.2025;20:00;EHC Biel-Bienne;Genève-Servette HC; 3:2; 2:1|0:0|1:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6365;MYSPORTS,LEMANBLEU,LATELE,TELEB;20261105000225;NL;CH;Regular Season
Mo;22.12.2025;19:45;Lausanne HC;SC Bern; 2:3; 0:0|1:0|1:2|0:1;OT;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9600;MYSPORTS;20261105000208;NL;CH;Regular Season
Mo;22.12.2025;19:45;HC Lugano;HC Ajoie; 6:1; 1:1|4:0|1:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;6292;MYSPORTS;20261105000270;NL;CH;Regular Season
Di;23.12.2025;19:45;HC Ambri-Piotta;HC Ajoie; 2:5; 1:2|1:1|0:2;;Ende;False;Gottardo Arena, 6775 Ambri TI;6775;MYSPORTS;20261105000232;NL;CH;Regular Season
Di;23.12.2025;19:45;SC Bern;SC Rapperswil-Jona Lakers; 3:2; 0:2|1:0|1:0|1:0;SO;Ende;False;PostFinance Arena, 3014 Bern BE;15876;MYSPORTS,TV24,3PLUS;20261105000233;NL;CH;Regular Season
Di;23.12.2025;19:45;Genève-Servette HC;Lausanne HC; 7:3; 2:1|4:2|1:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;7135;MYSPORTS;20261105000234;NL;CH;Regular Season
Di;23.12.2025;19:45;EHC Kloten;Fribourg-Gottéron; 4:3; 3:0|0:1|1:2;;Ende;False;SWISS Arena, 8302 Kloten ZH;6158;MYSPORTS;20261105000235;NL;CH;Regular Season
Di;23.12.2025;19:45;SCL Tigers;HC Lugano; 2:4; 1:1|1:2|0:1;;Ende;False;emmental versicherung arena , 3550 Langnau i. E. BE;6000;MYSPORTS,TELETICINO;20261105000236;NL;CH;Regular Season
Di;23.12.2025;19:45;ZSC Lions;EHC Biel-Bienne; 4:2; 1:0|0:1|3:1;;Ende;False;Swiss Life Arena, 8048 Zürich ZH;12000;MYSPORTS;20261105000237;NL;CH;Regular Season
Di;23.12.2025;19:45;EV Zug;HC Davos; 3:2; 1:1|1:0|0:1|1:0;SO;Ende;False;OYM hall, 6303 Zug;7450;MYSPORTS;20261105000238;NL;CH;Regular Season
Fr;02.01.2026;14:00;HC Ajoie;SC Bern; 3:4; 0:0|2:1|1:3;;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;5276;MYSPORTS;20261105000239;NL;CH;Regular Season
Fr;02.01.2026;14:02;Genève-Servette HC;ZSC Lions; 5:3; 2:0|1:2|2:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;6696;MYSPORTS;20261105000243;NL;CH;Regular Season
